hashed_row,title,price,categories
8f53c7f5508fb40780a19b14868fa5fe,"Leather Desk Pad Protector,Mouse Pad,Office Desk Mat, Non-Slip PU Leather Desk Blotter,Laptop Desk Pad,Waterproof Desk Writing Pad for Office and Home (31.5"" x 15.7"", Light Grey)",13.99,"['Office Products', 'Office & School Supplies', 'Desk Accessories & Workspace Organizers', 'Mouse Pads & Wrist Rests', 'Mouse Pads']"
a3cf438c70e401652adef92771a3e2c0,"Plugable Universal Laptop Docking Station, 4K Dual Monitor, DisplayPort or HDMI, Windows Mac or ChromeOS Laptops, USB-C or USB 3.0, Adds 2 Displays, Ethernet, Audio, 6 USB Ports",159.95,"['Electronics', 'Computers & Accessories', 'Laptop Accessories', 'Docking Stations']"
145f06fdf7fca0972d306bc464cc0020,Gardeneer by Dalen HammerEdge Pound in Edging - 16 Durable Interlocking Pieces -18 feet of Coverage - Made in USA - Easy to Install,34.85,"['Patio, Lawn & Garden', 'Gardening & Lawn Care', 'Plant Support Structures', 'Garden Edging']"
3535b1e9d52f0bd57143c6051718deed,"MISSHA M PERFECT COVER BB CREAM #21 SPF 42 PA+++, Multi-Function, High Coverage Makeup to help infuse moisture for firmer-looking skin with reduction in appearance of fine lines 50ml-Lightweight",12.0,"['Beauty & Personal Care', 'Makeup', 'Face', 'BB Creams']"
9c8aeb71f8e34be38033548ef84b0aef,"Maybelline New York Dream Fresh Skin Hydrating BB cream, 8-in-1 Skin Perfecting Beauty Balm with Broad Spectrum SPF 30, Sheer Tint Coverage, Oil-Free, Light/Medium, 1 Fl Oz",7.11,"['Beauty & Personal Care', 'Makeup', 'Face', 'BB Creams']"
480a2b777c2d88b59583e734872e29f3,Bachelorette Fanny Pack Set (12 pack) Includes Bride Fanny Pack I Fanny Packs for Bachelorette Party Favors I Bride Tribe Funny Fanny Packs,54.99,"['Clothing, Shoes & Jewelry', 'Luggage & Travel Gear', 'Waist Packs']"
4df88f0c314aa4de8f99920bca63b6ef,"Elite Turkish Coffee with Cardamom, 3.5 oz (3 Pack)",14.69,"['Grocery & Gourmet Food', 'Pantry Staples', 'Herbs, Spices & Seasonings', 'Single Herbs & Spices', 'Cardamom Seed']"
58accdb6ae8838aca7f6ff386499c9da,"Love-KANKEI Floating Shelves for Coffee Bar,Bathroom Shelves with Towel Bar, Wall Shelves with 8 Hooks for Kitchen, 17.3 Inch Storage Shelves Set of 2 for Bedroom,Living Room，Black",26.99,"['Home & Kitchen', 'Home Décor Products', 'Home Décor Accents', 'Floating Shelves']"
8f291c6f84ea739d20d0f5fb279f5981,"Zwolf Strong Adhesive Mount for YI Pan-Tilt Security Camera , No Hole Needed , Perfect View Angle for Yi Home 360 Degree Indoor Pet Cam (Pack of 2)",19.99,"['Electronics', 'Security & Surveillance', 'Accessories', 'Surveillance Housing & Mounting Brackets']"
2ce023faad859c0fe17d6eabec763e01,"NUK Smooth Flow Anti Colic Baby Bottle Nipples, Size 2 (6+ Months), Medium Flow, 2 Pack",8.93,"['Baby Products', 'Feeding', 'Bottle-Feeding', 'Nipples']"
4ca368a31b9f0623670663fad33e2b01,"JORIKCHUO Nursery Book Shelves, Set of 2 Wood Floating Book Shelves for Kids Room, Kitchen Spice Rack, or Rustic Wall Mounted Shelves for Farmhouse Bathroom Decor (Natural Wood)",17.99,"['Home & Kitchen', 'Home Décor Products', 'Home Décor Accents', 'Floating Shelves']"
ac68660772a5c15bff67dc2a0b820b42,"DEXDE Bathroom Rugs Non-Slip Bath Mat, Luxury Soft Absorbent Plush Microfiber Bath mats for Bathroom, Washable Boho Bathroom Rugs, Carpet for Tub, Shower,20""x32"", Beige",25.99,"['Home & Kitchen', 'Bath', 'Bath Rugs']"
4eb889adfdfbcd4487563681e97bb4bf,NIOIIKIT Nursery Rocking Chair Teddy Upholstered Glider Rocker Rocking Accent Chair Padded Seat with High Backrest Armchair Comfy Side Chair for Living Room Bedroom Offices (Yellow Teddy),159.99,"['Home & Kitchen', 'Furniture', 'Game & Recreation Room Furniture', 'Gliders']"
31322c1eb41509a6598ee2e688c06e14,"mDesign 35.3"" High Steel Frame/Wood Top Storage Dresser Furniture Unit, 8 Removable Slim Fabric Drawers - Tall Bureau Organizer for Bedroom, Living Room, Closet - Lido Collection, Black/Dark Gray",66.99,"['Home & Kitchen', 'Storage & Organization', 'Racks, Shelves & Drawers', 'Storage Drawer Units']"
4f11d632da7d504c6c15a2ced9f1d8ff,40pcs Baby Hair Clips Tiny Bow Hair Clips for Newborn No Slip Toddler Mini Hair Bow Barrettes Hair Accessories for Baby Fine Hair Girls Infant Toddlers,11.99,"['Baby Products', 'Baby Care', 'Hair Care', 'Hair Accessories', 'Clips']"
ae55460e6ae14cb594bb8bfdde483e47,Sing a Song of Sunshine (Interactive Early Bird Children's Song Book with 10 Sing-Along Tunes),19.99,"['Books', ""Children's Books"", 'Arts, Music & Photography']"
4e0506cec75bf9b052e6db5614018494,Bedtime Songs: 11-Button Interactive Children's Sound Book (Early Bird Song),14.6,"['Books', ""Children's Books"", 'Arts, Music & Photography']"
b604b41db524c8d5077138fe942fb31b,"World of Eric Carle, Around the Farm 30-Button Animal Sound Book - Great for First Words - PI Kids",11.0,"['Books', ""Children's Books"", 'Activities, Crafts & Games']"
3924b46ea697be530c10e33cb44b8acf,WEONEDREAM Toddler Baby Boys Girls Winter Fleece Jacket Small Kids Warm Hooded Outwear Coat,26.99,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Boys', 'Clothing', 'Jackets & Coats', 'Jackets']"
01c98f8de7e2b49015849b3277ff22b7,YOUNGER TREE Toddler Baby Girls Summer Swimsuit Sleeveless Striped Swimwear Two-Piece Suit Beach Bikini,20.98,"['Clothing, Shoes & Jewelry', 'Baby', 'Baby Girls', 'Clothing', 'Swim', 'Two-Pieces', 'Bikinis']"
